Rank	Score	ORPHA_ID	Disease_Name	Matched_Phenotype	Causative_Gene
1	1.0	ORPHA:297	tick-borne encephalitis	HP:0002197,HP:0000365,HP:0001974	
2	0.9540748571239799	ORPHA:2968	leukocyte adhesion deficiency	HP:0001250,HP:0000388,HP:0001974	
3	0.8935301113276735	ORPHA:79087	acquired partial lipodystrophy	HP:0001250,HP:0000365,HP:0100827	LMNB2
3	0.8935301113276735	ORPHA:540	hereditary hemophagocytic lymphohistiocytosis	HP:0001250,HP:0000407,HP:0001875	PRF1,STXBP2,UNC13D,STX11
3	0.8935301113276735	ORPHA:2136	Hennekam syndrome	HP:0001250,HP:0000405,HP:0001888	ADAMTS3,FAT4,CCBE1
3	0.8935301113276735	ORPHA:443811	immunodeficiency 23	HP:0001250,HP:0000405,HP:0001875	PGM3
3	0.8935301113276735	ORPHA:163956	syndromic X-linked intellectual disability Nascimento type	HP:0001250,HP:0000365,HP:0001875	UBE2A
3	0.8935301113276735	ORPHA:193	Cohen syndrome	HP:0001250,HP:0000407,HP:0001875	VPS13B
3	0.8935301113276735	ORPHA:809	mixed connective tissue disease	HP:0001250,HP:0000365,HP:0001882	
3	0.8935301113276735	ORPHA:699	Pearson syndrome	HP:0001250,HP:0000365,HP:0001875	
3	0.8935301113276735	ORPHA:870	Down syndrome	HP:0001250,HP:0000405,HP:0011897	
3	0.8935301113276735	ORPHA:228123	coccidioidomycosis	HP:0001250,HP:0000365,HP:0001880	
3	0.8935301113276735	ORPHA:33364	trichothiodystrophy	HP:0002197,HP:0008619,HP:0001875	ERCC2,MPLKIP,GTF2E2,TARS1,RNF113A,AARS1,ERCC3,GTF2H5,CARS1
3	0.8935301113276735	ORPHA:355	Gaucher disease	HP:0002069,HP:0000365,HP:0001882	GBA1
3	0.8935301113276735	ORPHA:79324	ALG12-congenital disorder of glycosylation	HP:0001250,HP:0000407,HP:0010976	ALG12
3	0.8935301113276735	ORPHA:506	Leigh syndrome	HP:0001250,HP:0000407,HP:0001875	NDUFS2,SUCLA2,NDUFAF5,DLD,MTRFR,SLC19A3,ETHE1,SURF1,PDHX,NDUFAF2,FBXL4,MTFMT,ECHS1,TTC19,SERAC1,IARS2,NDUFS4,SCO2,EARS2,NDUFAF6,NDUFS1,HIBCH,PDHA1,LRPPRC,NDUFV1
